,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
45,6,3,10,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,2,4
46,6,4,9,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,1
47,6,4,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,4
48,6,3,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,4
49,6,4,10,2,3,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,4,5
50,3,4,10,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,4,5
51,6,4,5,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,4,1
52,6,3,9,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,1
53,0,3,9,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,4
54,6,4,5,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,5,6
55,6,3,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,5,6
56,0,4,10,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,4
57,3,1,4,1,5,1,2,0,6,2,3,2,2,8,8,0,3,1,0,3,0,1
58,0,3,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,1
59,6,3,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,2,1
60,6,4,5,2,0,1,0,0,8,0,4,2,4,8,8,0,3,1,4,2,6,5
61,5,1,4,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,5,6
62,0,4,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,4
63,0,3,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,4
64,0,4,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,4
65,0,4,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,1
66,3,3,5,1,5,1,2,0,5,2,3,2,2,8,8,0,3,1,0,2,0,1
67,6,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,1
68,3,4,10,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,4,1
69,6,4,10,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,2,1
70,6,1,4,1,5,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,5,6
71,3,1,10,2,3,1,2,2,8,2,1,2,2,8,8,0,3,1,4,3,5,0
72,0,4,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,4
73,3,1,10,2,3,1,2,2,11,2,1,2,2,8,8,0,3,1,4,3,5,0
74,6,4,5,2,0,1,0,0,8,0,4,2,4,8,8,0,3,1,4,2,4,5
75,0,3,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,1
76,3,3,10,2,3,1,2,2,8,2,1,2,2,8,8,0,3,1,4,3,5,0
77,6,3,9,2,3,1,2,2,6,2,1,2,2,8,8,0,3,1,4,7,5,0
78,3,4,5,2,3,1,0,0,8,0,4,2,4,8,8,0,3,1,4,3,6,5
79,6,4,5,2,7,1,0,2,11,0,3,2,2,8,8,0,3,1,4,3,5,6
80,3,4,5,2,0,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,6,1
81,6,3,5,1,5,1,2,0,5,2,3,0,2,8,8,0,3,1,0,3,4,1
82,6,4,9,2,7,1,0,2,11,0,3,2,2,8,8,0,3,1,4,2,4,1
83,3,1,4,1,5,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,6,6
84,6,1,4,1,5,1,2,0,6,2,3,2,2,8,8,0,3,1,0,3,4,1
85,6,4,10,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,4,1
86,6,3,5,1,5,1,2,0,5,2,3,2,2,8,8,0,3,1,0,2,4,1
87,0,3,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,1
88,6,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,1
89,3,4,5,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,6,1
90,5,1,5,1,5,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,5,6
91,6,1,5,1,5,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,6,6
92,0,3,9,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,1
93,6,4,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,1
94,6,4,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,2,4
95,6,3,5,1,5,1,2,0,6,2,3,2,2,8,8,0,3,1,0,3,0,1
96,6,3,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,1
97,3,4,5,2,3,1,0,0,8,0,4,2,4,8,8,0,3,1,4,3,4,1
98,6,3,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,1
99,0,3,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,1
100,6,4,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,1
101,6,1,5,1,5,1,2,0,8,2,3,0,2,8,8,0,3,1,0,2,4,1
102,0,3,10,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,1
103,3,4,10,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,4,1
104,6,4,10,2,0,1,0,0,6,0,4,2,4,8,8,0,3,1,4,2,6,5
105,0,4,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,1
106,6,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,4
107,6,4,10,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,6,1
108,0,4,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,4
109,0,4,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,4
110,6,3,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,2,4
111,6,3,10,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,2,1
112,5,1,4,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,2,6,6
113,6,1,9,2,0,1,2,2,11,2,1,2,2,8,8,0,3,1,4,7,5,0
114,6,3,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,4
115,6,4,9,2,7,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,5,6
116,6,4,10,2,3,1,0,0,8,0,4,2,4,8,8,0,3,1,4,3,4,1
117,5,1,4,1,5,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,6,6
118,6,4,10,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,6,1
119,6,3,10,2,3,1,2,2,8,2,1,2,2,8,8,0,3,1,4,7,5,0
120,5,1,5,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,6,6
121,6,3,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,5,1
122,6,4,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,4
123,3,4,5,2,7,1,0,2,8,0,3,2,2,8,8,0,3,1,4,2,5,1
124,3,3,4,1,5,1,2,0,5,2,3,2,2,8,8,0,3,1,0,3,0,1
125,6,3,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,4
126,6,3,9,1,5,1,2,0,6,2,3,2,0,8,8,0,3,1,0,2,4,1
127,0,3,10,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,1
128,3,1,4,1,5,1,2,0,4,2,3,2,2,8,8,0,3,1,0,3,0,1
129,6,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,1
130,0,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,4
131,0,3,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,1
132,0,4,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,4
133,3,3,9,2,3,1,2,2,11,2,1,2,2,8,8,0,3,1,4,7,5,0
134,6,4,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,4
135,3,3,9,2,0,1,2,2,8,2,1,2,2,8,8,0,3,1,4,3,5,0
136,6,4,9,2,7,1,0,2,11,0,3,2,2,8,8,0,3,1,4,3,5,6
137,3,1,9,2,3,1,2,2,11,2,1,2,2,8,8,0,3,1,4,3,5,0
138,6,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,1
139,6,3,5,2,7,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,5,1
140,0,3,10,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,1
141,6,4,5,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,6,5
142,0,4,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,2,4
143,5,1,5,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,5,6
144,3,4,5,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,6,5
145,6,4,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,2,1
146,6,1,4,1,5,1,2,0,5,2,3,0,0,8,8,0,3,1,0,2,4,1
147,3,1,9,1,5,1,2,0,5,2,3,2,0,8,8,0,3,1,0,3,0,1
148,6,4,10,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,4
149,0,3,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,2,1
150,0,4,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,2,4
151,6,4,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,1
152,6,3,5,1,5,1,2,0,8,2,3,0,2,8,8,0,3,1,0,3,0,1
153,6,4,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,1
154,5,1,5,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,5,6
155,6,3,9,2,0,1,2,2,11,2,1,2,2,8,8,0,3,1,4,7,5,0
156,6,4,5,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,4,1
157,0,4,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,1
158,6,4,9,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,1
159,0,4,9,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,4
160,0,3,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,1
161,0,3,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,4
162,0,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,1
163,6,1,5,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,6,6
164,3,4,5,2,3,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,6,1
165,6,4,9,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,1
166,3,4,10,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,6,5
167,0,3,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,1
168,0,3,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,4
169,6,4,5,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,6,1
170,0,3,9,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,1
171,6,1,4,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,3,6,6
172,0,3,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,1
173,6,1,10,2,3,1,2,2,6,2,1,2,2,8,8,0,3,1,4,7,5,0
174,0,4,10,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,1
175,3,4,10,2,3,1,0,0,8,0,4,2,4,8,8,0,3,1,4,3,4,1
176,0,4,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,2,4
177,0,4,9,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,2,4
178,0,4,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,1
179,6,4,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,4
180,0,3,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,1
181,6,4,9,2,7,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,5,6
182,5,1,5,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,3,6,6
183,3,1,5,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,2,5,6
184,6,3,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,4
185,3,4,5,2,0,1,0,0,8,0,4,2,4,8,8,0,3,1,4,2,4,5
186,6,4,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,4,1
187,0,3,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,4
188,3,1,4,1,5,1,0,2,8,0,3,2,2,8,8,0,3,1,4,2,5,6
189,0,4,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,1
190,6,4,5,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,6,5
191,6,1,9,1,5,1,2,0,8,2,3,2,0,8,8,0,3,1,0,2,4,1
192,6,3,9,2,3,1,2,2,11,2,1,2,2,8,8,0,3,1,4,3,5,0
193,0,3,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,4
194,3,3,10,2,0,1,2,2,11,2,1,2,2,8,8,0,3,1,4,3,5,0
195,6,3,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,4
196,3,1,4,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,3,6,6
197,0,3,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,1
198,6,3,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,4
199,6,4,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,4
200,3,3,9,2,0,1,2,2,6,2,1,2,2,8,8,0,3,1,4,3,5,0
201,6,4,10,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,1
202,0,3,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,1
203,6,3,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,2,1
204,6,1,9,1,5,1,2,0,4,2,3,0,2,8,8,0,3,1,0,2,4,1
205,3,4,5,2,3,1,0,0,6,0,4,2,4,8,8,0,3,1,4,2,6,5
206,6,3,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,5,6
207,0,3,9,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,1
208,0,3,9,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,4
209,0,4,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,1
210,0,4,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,2,1
211,6,3,10,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,1
212,0,3,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,2,4
213,6,1,10,2,0,1,2,2,6,2,1,2,2,8,8,0,3,1,4,3,5,0
214,6,1,4,1,5,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,6,6
215,3,4,10,2,0,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,4,1
216,0,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,4
217,6,3,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,1
218,6,4,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,1
219,6,4,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,1
220,5,1,4,1,5,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,5,6
221,6,3,9,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,4
222,6,3,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,4,1
223,6,4,10,2,0,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,4,1
224,3,1,9,2,0,1,2,2,8,2,1,2,2,8,8,0,3,1,4,3,5,0
225,6,4,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,2,4
226,0,4,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,1
227,6,3,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,1
228,6,3,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,1
229,6,4,5,2,7,1,0,2,8,0,3,2,2,8,8,0,3,1,4,2,5,6
230,0,3,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,1
231,6,1,4,1,5,1,0,2,6,0,3,2,2,8,8,0,3,1,4,2,6,6
232,6,4,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,4,6
233,6,4,10,2,3,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,6,5
234,3,1,5,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,5,6
235,0,3,9,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,1
236,6,1,9,2,3,1,2,2,11,2,1,2,2,8,8,0,3,1,4,3,5,0
237,6,4,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,1
238,0,4,10,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,1
239,6,4,10,2,3,1,0,0,6,0,4,2,4,8,8,0,3,1,4,2,4,1
240,3,4,10,2,0,1,0,0,8,0,4,2,4,8,8,0,3,1,4,2,4,5
241,3,4,10,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,6,5
242,6,3,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,4,1
243,6,3,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,4
244,6,3,9,2,7,1,0,2,6,0,3,2,2,8,8,0,3,1,4,2,5,6
245,3,1,9,2,0,1,2,2,8,2,1,2,2,8,8,0,3,1,4,7,5,0
246,6,3,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,1
247,6,3,9,2,3,1,2,2,8,2,1,2,2,8,8,0,3,1,4,7,5,0
248,6,4,9,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,4
249,3,4,10,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,2,6,5
250,6,3,5,1,5,1,2,0,8,2,3,0,2,8,8,0,3,1,0,2,4,1
251,3,4,10,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,6,1
252,6,3,5,2,7,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,4,1
253,5,1,5,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,3,5,6
254,0,4,10,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,4
255,0,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,1
256,0,4,9,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,4
257,3,1,5,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,5,6
258,6,3,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,2,2,4
259,0,4,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,2,1
260,0,4,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,4
261,3,4,5,2,3,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,4,1
262,6,4,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,5,1
263,6,3,9,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,1
264,6,4,9,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,4
265,3,1,9,2,3,1,2,2,11,2,1,2,2,8,8,0,3,1,4,7,5,0
266,3,1,4,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,2,5,6
267,3,3,4,1,5,1,2,0,8,2,3,2,2,8,8,0,3,1,0,2,0,1
268,6,4,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,4,4
269,0,3,9,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,4
270,3,4,5,2,7,1,0,2,11,0,3,2,2,8,8,0,3,1,4,2,4,6
271,6,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,4
272,3,3,5,2,7,1,0,2,11,0,3,2,2,8,8,0,3,1,4,2,5,6
273,6,4,9,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,1
274,6,4,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,4
275,3,4,10,2,0,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,4,5
276,6,4,5,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,4,5
277,3,4,5,2,0,1,0,0,11,0,4,2,4,8,8,0,3,1,4,3,6,1
278,6,4,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,4
279,3,1,5,1,5,1,2,0,4,2,3,2,2,8,8,0,3,1,0,2,4,1
280,6,3,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,4
281,6,4,9,2,7,1,0,2,11,0,3,2,2,8,8,0,3,1,4,3,4,1
282,0,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,4
283,5,1,5,1,5,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,5,6
284,6,3,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,4
285,0,4,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,4
286,3,4,5,2,0,1,0,0,6,0,4,2,4,8,8,0,3,1,4,2,4,1
287,0,4,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,4
288,0,4,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,1
289,6,4,5,2,3,1,0,0,6,0,4,2,4,8,8,0,3,1,4,3,6,5
290,3,1,4,1,5,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,6,6
291,6,1,4,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,2,6,6
292,0,4,10,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,1
293,6,3,10,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,4
294,0,4,9,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,1
295,6,3,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,4
296,0,3,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,4
297,6,3,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,4
